Unnamed: 0,event_id,datetime,dm,RA,Dec,is_in_DESI
0,280553139,2023-04-02 22:11:38.761938 UTC+0000,629.6107177734,44.0236599155,6.1147898802,True
1,280547208,2023-04-02 21:30:17.238676 UTC+0000,606.9657592773,222.341439478,86.5619221372,False
2,280447898,2023-04-02 10:08:55.278945 UTC+0000,308.5375671387,222.0307770748,14.2985893797,True
3,280446132,2023-04-02 09:01:04.392340 UTC+0000,349.7837524414,205.8643608133,38.9101613403,True
4,280426669,2023-04-02 04:56:39.291520 UTC+0000,259.203918457,142.8283349006,53.2923633937,True
5,280399766,2023-04-02 01:46:10.326922 UTC+0000,814.0054321289,98.9355619497,83.4933441326,False
6,280299141,2023-04-01 17:00:38.933570 UTC+0000,418.5273742676,325.1446851457,62.512133668,False
7,280216473,2023-04-01 03:50:24.397788 UTC+0000,843.1203613281,127.4653252603,51.7263683605,True
8,280124062,2023-03-31 22:16:20.526758 UTC+0000,481.6097412109,41.8326170391,68.1578668453,False
9,279993228,2023-03-31 15:35:23.965094 UTC+0000,1046.9249267578,301.8879141905,20.0970824506,False
10,279709125,2023-03-30 04:10:15.388101 UTC+0000,804.3004150391,129.2262538108,48.629296772,True
11,279706251,2023-03-30 03:53:34.779212 UTC+0000,283.4663696289,122.6140903162,72.4754025144,True
12,279649076,2023-03-29 22:08:29.534599 UTC+0000,319.8600463867,37.3420564792,74.8711852961,False
13,279548362,2023-03-29 08:24:38.657950 UTC+0000,1350.6101074219,192.238419516,40.8809047795,True
14,279546454,2023-03-29 05:44:43.188782 UTC+0000,417.7186279297,151.870632909,53.7033994038,True
15,279494585,2023-03-28 22:58:10.710553 UTC+0000,412.0573730469,50.5567949786,56.6213370433,False
16,279469568,2023-03-28 19:47:50.428165 UTC+0000,1293.5932617188,2.9688774737,60.1086634391,False
17,279380945,2023-03-28 08:27:22.401940 UTC+0000,934.5089111328,192.6843877046,3.0789389421,True
18,279377485,2023-03-28 07:42:55.264998 UTC+0000,702.3981323242,180.135558166,45.5623590594,True
19,279318614,2023-03-27 23:24:50.668119 UTC+0000,46.0986671448,56.0566448702,6.6690427978,False
20,279162997,2023-03-27 11:21:58.015326 UTC+0000,1289.1451416016,234.8164784229,34.8968578319,True
21,279161246,2023-03-27 10:50:36.405987 UTC+0000,509.9159545898,226.5871123662,7.8740429097,True
22,278720455,2023-03-25 01:43:36.084014 UTC+0000,911.8639526367,87.9006250632,74.1265057553,False
23,278687974,2023-03-24 21:46:13.737577 UTC+0000,1862.9522705078,27.4878816258,85.2642349962,False
24,278589167,2023-03-24 14:37:47.941504 UTC+0000,499.8066101074,278.1737868642,76.6691290646,True
25,278542342,2023-03-24 05:50:01.918858 UTC+0000,267.2913818359,148.3993266408,46.3238810505,True
26,278318888,2023-03-23 10:14:45.612771 UTC+0000,895.6890258789,213.5672464952,27.5701962019,True
27,278302812,2023-03-23 05:50:20.165063 UTC+0000,480.800994873,148.6089189848,-4.8517306607,True
28,278253583,2023-03-23 00:57:51.658498 UTC+0000,550.3533935547,75.8769953228,75.8181278237,False
29,278194344,2023-03-22 19:39:51.803683 UTC+0000,431.8717346191,354.6569853411,31.8898068696,True
30,278127036,2023-03-22 16:19:42.751114 UTC+0000,1293.1889648438,303.6992699966,53.1192190529,False
31,278040420,2023-03-22 09:15:53.102771 UTC+0000,664.3869018555,197.5067767607,49.8344323358,True
32,278039880,2023-03-22 09:08:45.897180 UTC+0000,1404.3918457031,197.4423244,34.142542562,True
33,277705843,2023-03-20 16:11:15.134817 UTC+0000,220.383972168,300.9882260172,58.2039046381,False
34,277644737,2023-03-20 03:29:05.089193 UTC+0000,333.6087646484,108.8709098711,21.9549651179,True
35,277614778,2023-03-19 23:53:05.554908 UTC+0000,47.3117904663,56.071576586,6.6694996959,False
36,277553028,2023-03-19 18:41:28.857623 UTC+0000,361.1062316895,337.9821232505,14.0935434777,True
37,277388194,2023-03-18 23:34:43.261342 UTC+0000,237.36769104,201.9178968143,89.1200626682,False
38,277256553,2023-03-18 04:05:14.086343 UTC+0000,376.472442627,299.2697165289,76.3296480372,False
39,277226323,2023-03-17 23:09:49.969513 UTC+0000,1257.1995849609,42.7293194275,43.7961926475,False
40,277143488,2023-03-17 17:27:57.825418 UTC+0000,759.0104980469,307.8203984265,85.2253796484,False
41,277079672,2023-03-17 14:40:36.252697 UTC+0000,2073.2268066406,274.3598830476,67.4473639715,True
42,277059004,2023-03-17 08:13:08.095943 UTC+0000,696.7368774414,179.4253305309,72.3331169055,True
43,276961815,2023-03-16 20:16:20.756544 UTC+0000,495.3584899902,358.816704724,66.10835196,False
44,276890557,2023-03-16 16:30:56.383203 UTC+0000,1288.3364257812,301.4474423407,31.1385537441,False
45,276879479,2023-03-16 16:07:51.216931 UTC+0000,331.9912719727,290.0972027769,82.9127712395,False
46,276516477,2023-03-15 03:45:25.609661 UTC+0000,858.0822143555,107.6085707499,47.0198850534,True
47,276387136,2023-03-14 17:12:50.081367 UTC+0000,429.0411071777,310.398390326,6.944618004,True
48,276305822,2023-03-14 13:41:14.088309 UTC+0000,376.8768310547,256.2076001395,63.0135525196,True
49,276299549,2023-03-14 11:03:35.882979 UTC+0000,788.9342041016,217.4441485628,11.9095744205,True
50,276298819,2023-03-14 09:55:28.953164 UTC+0000,559.2496337891,200.7683471677,64.336847758,True
51,276123528,2023-03-13 18:05:55.981296 UTC+0000,932.0827026367,322.2997914565,27.3655181062,False
52,275992150,2023-03-13 09:05:02.708759 UTC+0000,470.6916503906,187.0666777332,67.9879212387,True
53,275970982,2023-03-13 06:06:26.180777 UTC+0000,282.657623291,142.2578023385,39.28895787,True
54,275963213,2023-03-13 05:00:43.616279 UTC+0000,400.3305358887,125.1614239639,45.8947366479,True
55,275955036,2023-03-13 04:25:34.334876 UTC+0000,1568.5677490234,116.4788899755,35.2812619947,True
56,275895184,2023-03-12 22:24:57.058247 UTC+0000,25.4755783081,26.2878947298,-6.4241107198,True
57,275878101,2023-03-12 19:50:41.720919 UTC+0000,218.3621063232,347.3823589822,48.4200229372,False
58,275875141,2023-03-12 19:41:58.161679 UTC+0000,219.1708526611,344.5665897164,48.7881789049,False
59,275629567,2023-03-11 02:50:25.469670 UTC+0000,364.341217041,90.9756401214,55.9262218831,True
60,275550969,2023-03-10 18:16:23.690675 UTC+0000,458.9647827148,321.3477631691,40.2513963321,False
61,275376610,2023-03-09 23:44:02.690729 UTC+0000,1212.7183837891,43.0466659,74.8883459269,False
62,275352978,2023-03-09 22:01:48.631229 UTC+0000,866.5740356445,17.3238724175,40.2371726237,False
63,275343207,2023-03-09 21:00:42.426803 UTC+0000,385.3686828613,1.9469794415,48.0272959824,False
64,275250793,2023-03-09 08:17:30.756367 UTC+0000,763.8629760742,171.2742534626,6.337774113,True
65,275232095,2023-03-09 05:38:41.607006 UTC+0000,479.1835021973,131.8534339345,8.2536474567,True
66,275149627,2023-03-08 22:45:18.611276 UTC+0000,866.5740356445,208.2658573149,75.8547203042,True
67,275130275,2023-03-08 20:00:43.526208 UTC+0000,219.5752258301,347.1824383951,48.7996018834,False
68,275101905,2023-03-08 17:53:48.583797 UTC+0000,509.107208252,313.8292491718,34.5205543096,False
69,275027565,2023-03-08 13:28:48.831923 UTC+0000,826.9453735352,247.9423371621,7.8382318429,True
70,274996202,2023-03-08 05:14:28.234470 UTC+0000,1636.5026855469,124.8638127435,47.8396870418,True
71,274963470,2023-03-07 23:18:10.464670 UTC+0000,1134.2697753906,35.5672536748,45.3351101959,False
72,274824628,2023-03-07 13:47:21.028631 UTC+0000,1733.1480712891,251.5939596877,23.6963814705,True
73,274819928,2023-03-07 10:46:27.834496 UTC+0000,214.7227325439,206.67121409,60.3537755455,True
74,274819243,2023-03-07 09:05:48.036736 UTC+0000,610.2007446289,181.9423064747,71.7147957181,True
75,274762485,2023-03-07 00:19:06.761036 UTC+0000,3087.3974609375,49.8237409751,41.4591967548,False
76,274741213,2023-03-06 20:26:23.314846 UTC+0000,246.2639312744,351.0389276679,7.6595443264,True
77,274644818,2023-03-06 05:49:56.573086 UTC+0000,603.7307739258,130.4886647793,52.5066745179,True
78,274640456,2023-03-06 05:20:33.612743 UTC+0000,526.8996582031,123.3724668538,34.8935905586,True
79,274633744,2023-03-06 03:15:10.879480 UTC+0000,665.6000366211,92.382638776,41.1524569944,False
80,274567251,2023-03-05 18:44:10.907837 UTC+0000,485.653503418,324.454111695,31.46650778,False
81,274523406,2023-03-05 11:44:29.889968 UTC+0000,472.7135314941,219.8107649669,41.2445554765,True
82,274523305,2023-03-05 10:20:14.642160 UTC+0000,771.1417236328,197.3471123142,35.3461793132,True
83,274517321,2023-03-05 05:32:34.347197 UTC+0000,1080.8924560547,126.6382772443,64.2916987977,True
84,274381661,2023-03-04 08:00:50.073748 UTC+0000,1081.701171875,161.4694979861,48.6753951894,True
85,274341293,2023-03-03 23:14:32.681989 UTC+0000,809.5573120117,29.5590391033,19.6112406367,True
86,274209773,2023-03-03 02:21:54.909291 UTC+0000,228.4714660645,75.9302217961,59.8114582069,False
87,273947077,2023-03-01 22:00:21.038433 UTC+0000,1349.8012695312,9.864331684,20.9181571088,True
88,273844060,2023-03-01 13:57:38.863375 UTC+0000,759.0104980469,248.7038141496,27.9340358968,True
89,273827198,2023-02-28 17:44:11.822233 UTC+0000,661.5563354492,303.1535119927,54.2785072089,False
90,273584531,2023-02-27 08:10:30.079928 UTC+0000,464.6260375977,158.2471468935,70.0342359594,True
91,273546710,2023-02-27 01:00:24.053094 UTC+0000,798.6391601562,225.3403927022,87.6303716402,False
92,273432862,2023-02-26 16:23:11.061022 UTC+0000,516.7903442383,284.3429274585,76.6873457415,True
93,273416127,2023-02-26 11:18:21.947850 UTC+0000,30.3280696869,205.7999503014,66.365579084,True
94,273370169,2023-02-26 00:56:01.952020 UTC+0000,479.1835021973,50.2967554529,55.8453457592,False
95,273334990,2023-02-25 21:18:41.179310 UTC+0000,743.6442871094,355.2587353698,33.4771234227,True
96,273244134,2023-02-25 11:17:36.571709 UTC+0000,343.3137512207,204.6118205616,55.6282080988,True
97,273170375,2023-02-24 22:30:53.508352 UTC+0000,1253.1558837891,13.0116878233,54.622430284,False
98,273168274,2023-02-24 21:14:53.948631 UTC+0000,337.6525268555,353.5229865548,11.7996286614,True
99,273084138,2023-02-24 07:28:09.773824 UTC+0000,1402.3699951172,145.6422792812,75.5145314261,True
100,273082997,2023-02-24 06:55:19.942543 UTC+0000,729.8955688477,137.7985801438,27.5654041517,True
101,272638677,2023-02-23 13:12:39.653570 UTC+0000,691.0756225586,230.4217972119,42.011877547,True
102,272636249,2023-02-23 11:55:32.617984 UTC+0000,539.0308837891,212.1678455367,51.3695818589,True
103,272636176,2023-02-23 11:06:00.699317 UTC+0000,731.9174194336,197.2774681737,70.4383114581,True
104,272628839,2023-02-23 07:12:53.400647 UTC+0000,225.2364654541,140.4952988876,65.1227271706,True
105,272612741,2023-02-23 05:02:40.104355 UTC+0000,218.7664794922,108.1122532909,26.2594615049,True
106,272581098,2023-02-23 02:11:16.153292 UTC+0000,750.1142578125,244.0614491195,80.8799094157,True
107,272367619,2023-02-22 13:42:46.718003 UTC+0000,188.0340423584,237.3210258075,30.855262268,True
108,272356230,2023-02-22 07:20:03.682171 UTC+0000,686.6275024414,141.5982209351,24.6253819837,True
109,272350056,2023-02-22 05:00:29.486848 UTC+0000,708.4420776367,107.0648644302,11.3699993842,False
110,272132652,2023-02-19 00:02:26.878535 UTC+0000,348.9750061035,29.192146698,65.7147218076,False
