event_id,dm,RA,Dec,DMhalo,DMISM,DM_Cosm,z
1,505.0634765625 pc / cm3,359.63604776,34.1019037094,40.0 pc / cm3,75.0 pc / cm3,290.0634765625 pc / cm3,0.32948439962819576
2,1343.7357177734 pc / cm3,222.9212888981,34.8935905586,40.0 pc / cm3,75.0 pc / cm3,1128.7357177734 pc / cm3,1.2161486402126083
3,386.9861755371 pc / cm3,330.5774620329,76.2696855483,40.0 pc / cm3,75.0 pc / cm3,171.9861755371 pc / cm3,0.1993554650769455
4,274.5701293945 pc / cm3,320.6346500473,89.4289530523,40.0 pc / cm3,75.0 pc / cm3,59.570129394499986 pc / cm3,0.07076793899309697
5,671.2612915039 pc / cm3,85.0888855978,85.4778501823,40.0 pc / cm3,75.0 pc / cm3,456.2612915039 pc / cm3,0.5079121516775902
6,1200.5871582031 pc / cm3,298.9211792306,10.2161486951,40.0 pc / cm3,75.0 pc / cm3,985.5871582031 pc / cm3,1.0656310842301382
7,21.8362102509 pc / cm3,63.7600212945,7.8362616334,40.0 pc / cm3,75.0 pc / cm3,0,
8,3110.4467773438 pc / cm3,350.8275252834,71.6187675728,40.0 pc / cm3,75.0 pc / cm3,2895.4467773438 pc / cm3,3.1780846599585786
9,687.840637207 pc / cm3,23.0613405404,34.3900009731,40.0 pc / cm3,75.0 pc / cm3,472.840637207 pc / cm3,0.5255267034658486
10,1177.5378417969 pc / cm3,9.9995605558,56.2782030855,40.0 pc / cm3,75.0 pc / cm3,962.5378417969 pc / cm3,1.0413874639403242
11,1086.5537109375 pc / cm3,246.7648000779,28.4187354316,40.0 pc / cm3,75.0 pc / cm3,871.5537109375 pc / cm3,0.9456470951686174
12,1698.3719482422 pc / cm3,322.4331133068,9.8703409957,40.0 pc / cm3,75.0 pc / cm3,1483.3719482422 pc / cm3,1.5907263929500173
13,290.7450866699 pc / cm3,8.9754090223,37.3407216446,40.0 pc / cm3,75.0 pc / cm3,75.74508666989999 pc / cm3,0.08965502020032982
14,642.1463623047 pc / cm3,146.4325785717,0.6433504786,40.0 pc / cm3,75.0 pc / cm3,427.1463623047 pc / cm3,0.476916285895754
15,329.9693908691 pc / cm3,329.9820300019,27.3606642189,40.0 pc / cm3,75.0 pc / cm3,114.96939086909998 pc / cm3,0.13487170026883005
16,684.2012939453 pc / cm3,166.1236034779,40.4614649861,40.0 pc / cm3,75.0 pc / cm3,469.2012939453 pc / cm3,0.5216621878277059
