event_id,dm,RA,Dec,is_in_DESI,DMhalo,DMISM,DM_Cosm,z
1,611.8182983398 pc / cm3,179.8971683697,61.0854526991,True,40.0 pc / cm3,32.69518179990584 pc / cm3,539.1231165398941 pc / cm3,0.4896770959612148
2,257.1820373535 pc / cm3,285.9612457904,67.4473639715,True,40.0 pc / cm3,58.61475336115219 pc / cm3,158.5672839923478 pc / cm3,0.06959188289449067
3,577.446472168 pc / cm3,136.9751204785,3.3931668234,True,40.0 pc / cm3,50.50947416158378 pc / cm3,486.9369980064162 pc / cm3,0.4339557384002536
4,826.541015625 pc / cm3,154.1938265009,31.3272866548,True,40.0 pc / cm3,34.301305932897996 pc / cm3,752.239709692102 pc / cm3,0.7150196637580104
5,221.1927185059 pc / cm3,0.0,36.1383663772,False,40.0 pc / cm3,57.03178454998047 pc / cm3,124.16093395591952 pc / cm3,0.028854401712859336
6,308.9419555664 pc / cm3,96.4601740919,83.5623891209,False,40.0 pc / cm3,56.60416409069478 pc / cm3,212.33779147570522 pc / cm3,0.13186191048164458
7,1134.2697753906 pc / cm3,121.3371498132,11.2523606185,True,40.0 pc / cm3,68.55676454932576 pc / cm3,1025.7130108412741 pc / cm3,1.0026378543302956
8,449.6641845703 pc / cm3,339.0133159713,42.7996132655,False,40.0 pc / cm3,100.19619616544793 pc / cm3,309.46798840485206 pc / cm3,0.24109176719911138
9,677.731262207 pc / cm3,109.0664179669,56.0401684872,True,40.0 pc / cm3,60.41843718931799 pc / cm3,577.312825017682 pc / cm3,0.5302740605523169
10,1609.4095458984 pc / cm3,130.2334706764,56.8091858082,True,40.0 pc / cm3,44.74395543479747 pc / cm3,1524.6655904636025 pc / cm3,1.5284060294714734
11,349.7837524414 pc / cm3,255.806873229,25.6647294346,True,40.0 pc / cm3,45.813743447564946 pc / cm3,263.97000899383505 pc / cm3,0.19036706208238707
12,748.9011230469 pc / cm3,117.3823169906,17.3848983295,True,40.0 pc / cm3,71.99636988264515 pc / cm3,636.9047531642549 pc / cm3,0.5933903612181304
13,635.6763305664 pc / cm3,157.0707543017,31.6345761637,True,40.0 pc / cm3,32.815480590710614 pc / cm3,562.8608499756893 pc / cm3,0.5149267070752241
14,1085.7448730469 pc / cm3,115.2227745368,1.2865298027,False,40.0 pc / cm3,102.46351835602644 pc / cm3,943.2813546908735 pc / cm3,0.9159119547807278
15,410.8442687988 pc / cm3,137.8423230039,11.7996286614,True,40.0 pc / cm3,45.94081975328017 pc / cm3,324.90344904551984 pc / cm3,0.258151946834535
16,362.7237243652 pc / cm3,329.9638704683,12.1878165038,True,40.0 pc / cm3,46.7481839062138 pc / cm3,275.9755404589862 pc / cm3,0.20382007360982698
17,1334.4350585938 pc / cm3,220.8735184901,22.0121228025,True,40.0 pc / cm3,22.04522466288409 pc / cm3,1272.389833930916 pc / cm3,1.2620751416243776
18,304.4938354492 pc / cm3,199.0521413819,27.376633417,True,40.0 pc / cm3,21.63184406130266 pc / cm3,242.86199138789732 pc / cm3,0.1665827757824032
19,1334.4350585938 pc / cm3,266.1833196386,21.1701634622,True,40.0 pc / cm3,67.33783876921525 pc / cm3,1227.0972198245847 pc / cm3,1.2144253250129864
20,625.9713745117 pc / cm3,193.3153519866,43.1299388251,True,40.0 pc / cm3,23.008762769140024 pc / cm3,562.96261174256 pc / cm3,0.5150348375669443
21,179.542175293 pc / cm3,141.7700464093,-6.5680864014,True,40.0 pc / cm3,52.608603962275616 pc / cm3,86.93357133072439 pc / cm3,
22,377.2811889648 pc / cm3,334.8298044729,71.6791339549,False,40.0 pc / cm3,107.11481381137817 pc / cm3,230.16637515342182 pc / cm3,0.15219102848492425
23,338.0568847656 pc / cm3,269.4375734588,34.5047338978,True,40.0 pc / cm3,58.31946856479005 pc / cm3,239.73741620080995 pc / cm3,0.16304700841568928
